Metric,Value
design__instance__count__class:fill_cell,399
design__instance__area__class:fill_cell,4046.11
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,0
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_typ_1p20V_25C,1.19985
design_powergrid__drop__average__net:VDD__corner:nom_typ_1p20V_25C,1.19997
design_powergrid__drop__worst__net:VDD__corner:nom_typ_1p20V_25C,0.000152452
design_powergrid__voltage__worst__net:VSS__corner:nom_typ_1p20V_25C,0.00028706
design_powergrid__drop__average__net:VSS__corner:nom_typ_1p20V_25C,0.0000329578
design_powergrid__drop__worst__net:VSS__corner:nom_typ_1p20V_25C,0.00028706
design_powergrid__voltage__worst,0.00028706
design_powergrid__voltage__worst__net:VDD,1.19985
design_powergrid__drop__worst,0.00028706
design_powergrid__drop__worst__net:VDD,0.000152452
design_powergrid__voltage__worst__net:VSS,0.00028706
design_powergrid__drop__worst__net:VSS,0.00028706
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00002939999999999999972838567174893142919245292432606220245361328125
ir__drop__worst,0.00015200000000000000836830604811211742344312369823455810546875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
