Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_270,VSS,Metal1,137.0460,52.4590,0.000024
FILLER_9_263,VSS,Metal1,133.6860,52.4590,0.000024
FILLER_9_256,VSS,Metal1,130.3260,52.4590,0.000023
FILLER_9_249,VSS,Metal1,126.9660,52.4590,0.000019
FILLER_9_242,VSS,Metal1,123.6060,52.4590,0.000018
FILLER_9_235,VSS,Metal1,120.2460,52.4590,0.000018
FILLER_9_230,VSS,Metal1,116.4000,52.9200,0.000018
FILLER_9_228,VSS,Metal1,115.6800,52.9200,0.000011
FILLER_9_214,VSS,Metal1,109.4280,52.5430,0.000007
FILLER_9_207,VSS,Metal1,106.8060,52.4590,0.000006
FILLER_9_195,VSS,Metal1,99.8400,52.9200,0.000006
FILLER_9_191,VSS,Metal1,98.3880,52.5430,0.000006
FILLER_9_184,VSS,Metal1,95.7660,52.4590,0.000011
FILLER_9_177,VSS,Metal1,92.4060,52.4590,0.000011
FILLER_9_160,VSS,Metal1,84.2460,52.4590,0.000017
FILLER_9_153,VSS,Metal1,80.8860,52.4590,0.000017
FILLER_9_138,VSS,Metal1,72.2400,52.9200,0.000024
FILLER_9_136,VSS,Metal1,71.5200,52.9200,0.000024
FILLER_9_132,VSS,Metal1,69.3600,52.9200,0.000024
FILLER_9_130,VSS,Metal1,68.6400,52.9200,0.000024
FILLER_9_123,VSS,Metal1,66.4860,52.4590,0.000024
FILLER_9_116,VSS,Metal1,63.1260,52.4590,0.000024
FILLER_9_109,VSS,Metal1,59.7660,52.4590,0.000024
FILLER_9_102,VSS,Metal1,56.4060,52.4590,0.000023
FILLER_9_67,VSS,Metal1,38.1600,52.9200,0.000016
FILLER_9_60,VSS,Metal1,36.2460,52.4590,0.000016
FILLER_9_55,VSS,Metal1,32.4000,52.9200,0.000003
FILLER_9_53,VSS,Metal1,31.6800,52.9200,0.000003
FILLER_9_46,VSS,Metal1,29.5260,52.4590,0.000003
FILLER_9_39,VSS,Metal1,26.1660,52.4590,0.000003
FILLER_9_32,VSS,Metal1,22.8060,52.4590,0.000003
FILLER_9_25,VSS,Metal1,19.4460,52.4590,0.000003
FILLER_9_18,VSS,Metal1,16.0860,52.4590,0.000003
FILLER_9_11,VSS,Metal1,12.7260,52.4590,0.000003
FILLER_9_4,VSS,Metal1,9.3660,52.4590,0.000003
FILLER_8_308,VSS,Metal1,153.8400,45.3600,0.000026
FILLER_8_304,VSS,Metal1,152.6280,45.7360,0.000026
FILLER_8_297,VSS,Metal1,150.0060,45.8200,0.000026
FILLER_8_290,VSS,Metal1,146.6460,45.8200,0.000025
FILLER_8_283,VSS,Metal1,143.2860,45.8200,0.000024
FILLER_8_276,VSS,Metal1,139.9260,45.8200,0.000023
FILLER_8_269,VSS,Metal1,136.5660,45.8200,0.000021
FILLER_8_262,VSS,Metal1,133.2060,45.8200,0.000020
FILLER_8_255,VSS,Metal1,129.8460,45.8200,0.000019
FILLER_8_217,VSS,Metal1,110.1600,45.3600,0.000014
FILLER_8_215,VSS,Metal1,109.4400,45.3600,0.000014
FILLER_8_184,VSS,Metal1,94.3200,45.3600,0.000012
FILLER_8_177,VSS,Metal1,92.4060,45.8200,0.000014
FILLER_8_170,VSS,Metal1,89.0460,45.8200,0.000014
FILLER_8_163,VSS,Metal1,85.6860,45.8200,0.000014
FILLER_8_156,VSS,Metal1,82.3260,45.8200,0.000014
FILLER_8_126,VSS,Metal1,66.4800,45.3600,0.000017
FILLER_8_124,VSS,Metal1,65.7600,45.3600,0.000017
FILLER_8_117,VSS,Metal1,63.6060,45.8200,0.000016
FILLER_8_110,VSS,Metal1,60.2460,45.8200,0.000016
FILLER_8_103,VSS,Metal1,56.8860,45.8200,0.000016
FILLER_8_98,VSS,Metal1,53.2800,45.3600,0.000013
FILLER_8_94,VSS,Metal1,51.8280,45.7360,0.000013
FILLER_8_88,VSS,Metal1,48.2400,45.3600,0.000011
FILLER_8_86,VSS,Metal1,47.5200,45.3600,0.000009
FILLER_8_79,VSS,Metal1,45.3660,45.8200,0.000009
FILLER_8_42,VSS,Metal1,27.6060,45.8200,0.000003
FILLER_8_35,VSS,Metal1,24.2460,45.8200,0.000003
FILLER_8_28,VSS,Metal1,20.8860,45.8200,0.000003
FILLER_8_21,VSS,Metal1,17.5260,45.8200,0.000003
FILLER_8_14,VSS,Metal1,14.1660,45.8200,0.000003
FILLER_8_7,VSS,Metal1,10.8060,45.8200,0.000003
FILLER_8_0,VSS,Metal1,7.4460,45.8200,0.000003
FILLER_7_303,VSS,Metal1,151.6800,45.3600,0.000026
FILLER_7_296,VSS,Metal1,149.5260,44.8990,0.000026
FILLER_7_289,VSS,Metal1,146.1660,44.8990,0.000025
FILLER_7_282,VSS,Metal1,142.8060,44.8990,0.000024
FILLER_7_275,VSS,Metal1,139.4460,44.8990,0.000023
FILLER_7_268,VSS,Metal1,136.0860,44.8990,0.000021
FILLER_7_261,VSS,Metal1,132.7260,44.8990,0.000020
FILLER_7_254,VSS,Metal1,129.3660,44.8990,0.000019
FILLER_7_247,VSS,Metal1,126.0060,44.8990,0.000017
FILLER_7_240,VSS,Metal1,122.6460,44.8990,0.000017
FILLER_7_233,VSS,Metal1,119.2860,44.8990,0.000017
FILLER_7_228,VSS,Metal1,115.6800,45.3600,0.000015
