 time            v(vo)          
 2.03723385e-06  6.96857859e-01 
 2.04803934e-06  6.97370234e-01 
 2.06933939e-06  6.98372950e-01 
 2.10604520e-06  7.00108006e-01 
 2.17945683e-06  7.03566428e-01 
 2.32628008e-06  7.10484017e-01 
 2.50001000e-06  7.18639604e-01 
 2.50001100e-06  7.18639466e-01 
 2.50001300e-06  7.18639065e-01 
 2.50001700e-06  7.18637888e-01 
 2.50002000e-06  7.18636952e-01 
 2.50002080e-06  7.18636934e-01 
 2.50002240e-06  7.18637061e-01 
 2.50002560e-06  7.18637962e-01 
 2.50003200e-06  7.18640624e-01 
 2.50004480e-06  7.18645157e-01 
 2.50007040e-06  7.18649803e-01 
 2.50011741e-06  7.18653148e-01 
 2.50021142e-06  7.18633693e-01 
 2.50033951e-06  7.18477461e-01 
 2.50043570e-06  7.18328176e-01 
 2.50053915e-06  7.18292264e-01 
 2.50069316e-06  7.18305907e-01 
 2.50084021e-06  7.18298670e-01 
 2.50109375e-06  7.18305143e-01 
 2.50139213e-06  7.18300975e-01 
 2.50182295e-06  7.18304923e-01 
 2.50244942e-06  7.18301562e-01 
 2.50344776e-06  7.18304689e-01 
 2.50508544e-06  7.18301703e-01 
 2.50808766e-06  7.18304606e-01 
 2.51294324e-06  7.18301747e-01 
 2.52158186e-06  7.18304578e-01 
 2.53628719e-06  7.18301760e-01 
 2.56550838e-06  7.18304567e-01 
 2.62395076e-06  7.18301761e-01 
 2.73807086e-06  7.18304559e-01 
 2.96631105e-06  7.18301751e-01 
 3.00000000e-06  7.18304548e-01 
 3.00000100e-06  7.18304688e-01 
 3.00000300e-06  7.18304947e-01 
 3.00000700e-06  7.18304453e-01 
 3.00001000e-06  7.18302993e-01 
 3.00001051e-06  7.18302626e-01 
 3.00001153e-06  7.18301846e-01 
 3.00001356e-06  7.18300217e-01 
 3.00001764e-06  7.18297513e-01 
 3.00002578e-06  7.18295035e-01 
 3.00004207e-06  7.18296235e-01 
 3.00006990e-06  7.18302978e-01 
 3.00009964e-06  7.18313646e-01 
 3.00013658e-06  7.18327666e-01 
 3.00019404e-06  7.18344730e-01 
 3.00026138e-06  7.18360562e-01 
 3.00039606e-06  7.18385724e-01 
 3.00059339e-06  7.18412531e-01 
 3.00087430e-06  7.18426345e-01 
 3.00135372e-06  7.18436712e-01 
 3.00223683e-06  7.18451995e-01 
 3.00400305e-06  7.18488530e-01 
 3.00753549e-06  7.18918898e-01 
 3.01385307e-06  7.28106763e-01 
 3.02130618e-06  7.40767102e-01 
 3.02845939e-06  7.43416006e-01 
 3.03728385e-06  7.43727839e-01 
 3.04843499e-06  7.44248330e-01 
 3.07073726e-06  7.45280215e-01 
 3.10172819e-06  7.46722070e-01 
 3.16371006e-06  7.49592387e-01 
 3.28767379e-06  7.55334542e-01 
 3.50001000e-06  7.65119208e-01 
 3.50001100e-06  7.65119060e-01 
 3.50001300e-06  7.65118632e-01 
 3.50001700e-06  7.65117373e-01 
 3.50002000e-06  7.65116361e-01 
 3.50002080e-06  7.65116326e-01 
 3.50002240e-06  7.65116427e-01 
 3.50002560e-06  7.65117302e-01 
 3.50003200e-06  7.65119971e-01 
 3.50004480e-06  7.65124593e-01 
 3.50007040e-06  7.65129523e-01 
 3.50011738e-06  7.65133471e-01 
 3.50021133e-06  7.65110417e-01 
 3.50034040e-06  7.64948364e-01 
 3.50043686e-06  7.64799290e-01 
 3.50054073e-06  7.64764290e-01 
 3.50069683e-06  7.64778072e-01 
 3.50084546e-06  7.64770674e-01 
 3.50110237e-06  7.64777290e-01 
 3.50140497e-06  7.64772969e-01 
 3.50184160e-06  7.64777044e-01 
 3.50248631e-06  7.64773550e-01 
 3.50351996e-06  7.64776808e-01 
 3.50523955e-06  7.64773690e-01 
 3.50833682e-06  7.64776725e-01 
 3.51341371e-06  7.64773733e-01 
 3.52238475e-06  7.64776697e-01 
 3.53821492e-06  7.64773746e-01 
